,Year,Variable,Value
310210,2000,Bioenergy,25.6
310211,2000,Coal,1087.79
310212,2000,Gas,653.86
310213,2000,Hydro,697.14
310214,2000,Nuclear,358.53
310215,2000,Other Fossil,261.16
310216,2000,Other Renewables,11.98
310217,2000,Solar,1.23
310218,2000,Wind,16.93
310276,2001,Bioenergy,27.22
310277,2001,Coal,1107.66
310278,2001,Gas,721.25
310279,2001,Hydro,709.03
310280,2001,Nuclear,360.39
310281,2001,Other Fossil,253.99
310282,2001,Other Renewables,11.94
310283,2001,Solar,1.34
310284,2001,Wind,23.96
310342,2002,Bioenergy,28.6
310343,2002,Coal,1127.75
310344,2002,Gas,814.94
310345,2002,Hydro,720.1
310346,2002,Nuclear,366.75
310347,2002,Other Fossil,258.96
310348,2002,Other Renewables,12.3
310349,2002,Solar,1.64
310350,2002,Wind,30.72
310408,2003,Bioenergy,30.78
310409,2003,Coal,1154.57
310410,2003,Gas,900.86
310411,2003,Hydro,740.3
310412,2003,Nuclear,366.6
310413,2003,Other Fossil,263.27
310414,2003,Other Renewables,12.53
310415,2003,Solar,2.35
310416,2003,Wind,38.66
310474,2004,Bioenergy,33.54
310475,2004,Coal,1188.89
310476,2004,Gas,956.2
310477,2004,Hydro,761.21
310478,2004,Nuclear,373.87
310479,2004,Other Fossil,261.53
310480,2004,Other Renewables,12.79
310481,2004,Solar,3.44
310482,2004,Wind,47.67
310540,2005,Bioenergy,38.45
310541,2005,Coal,1238.47
310542,2005,Gas,1014.07
310543,2005,Hydro,784.04
310544,2005,Nuclear,378.04
310545,2005,Other Fossil,264.61
310546,2005,Other Renewables,13.42
310547,2005,Solar,4.94
310548,2005,Wind,58.4
310606,2006,Bioenergy,42.08
310607,2006,Coal,1327.79
310608,2006,Gas,1065.7
310609,2006,Hydro,805.45
310610,2006,Nuclear,378.67
310611,2006,Other Fossil,268.68
310612,2006,Other Renewables,14.0
310613,2006,Solar,6.51
310614,2006,Wind,73.15
310672,2007,Bioenergy,45.24
310673,2007,Coal,1408.56
310674,2007,Gas,1107.86
310675,2007,Hydro,832.37
310676,2007,Nuclear,379.85
310677,2007,Other Fossil,274.29
310678,2007,Other Renewables,14.16
310679,2007,Solar,8.99
310680,2007,Wind,91.53
310738,2008,Bioenergy,48.9
310739,2008,Coal,1469.8
310740,2008,Gas,1158.86
310741,2008,Hydro,861.76
310742,2008,Nuclear,378.67
310743,2008,Other Fossil,283.04
310744,2008,Other Renewables,14.66
310745,2008,Solar,15.26
310746,2008,Wind,115.55
310804,2009,Bioenergy,55.28
310805,2009,Coal,1534.68
310806,2009,Gas,1220.96
310807,2009,Hydro,891.56
310808,2009,Nuclear,380.02
310809,2009,Other Fossil,292.84
310810,2009,Other Renewables,15.38
310811,2009,Solar,23.61
310812,2009,Wind,150.1
310870,2010,Bioenergy,58.65
310871,2010,Coal,1606.44
310872,2010,Gas,1279.78
310873,2010,Hydro,925.58
310874,2010,Nuclear,381.46
310875,2010,Other Fossil,305.17
310876,2010,Other Renewables,15.78
310877,2010,Solar,41.59
310878,2010,Wind,180.83
310936,2011,Bioenergy,64.81
310937,2011,Coal,1685.93
310938,2011,Gas,1339.37
310939,2011,Hydro,953.84
310940,2011,Nuclear,386.17
310941,2011,Other Fossil,309.09
310942,2011,Other Renewables,16.28
310943,2011,Solar,73.91
310944,2011,Wind,220.1
311002,2012,Bioenergy,68.96
311003,2012,Coal,1745.61
311004,2012,Gas,1385.66
311005,2012,Hydro,984.46
311006,2012,Nuclear,378.66
311007,2012,Other Fossil,316.66
311008,2012,Other Renewables,17.08
311009,2012,Solar,104.3
311010,2012,Wind,266.88
311068,2013,Bioenergy,74.77
311069,2013,Coal,1803.82
311070,2013,Gas,1446.43
311071,2013,Hydro,1029.32
