,Area,Value
11170,Argentina,3.29
12622,Armenia,2.19
16912,Australia,9.59
18364,Austria,8.21
19816,Azerbaijan,2.38
24040,Bangladesh,0.55
26878,Belarus,3.91
28330,Belgium,7.83
34990,Bolivia,0.89
39214,Brazil,3.13
42052,Bulgaria,5.54
44890,Burundi,0.04
50500,Canada,15.24
55940,Chile,4.26
57301,China,5.88
65680,Costa Rica,2.28
68518,Croatia,4.65
71356,Cyprus,4.17
72808,Czechia,6.75
74260,Denmark,6.61
79870,Ecuador,1.79
81322,Egypt,1.71
82774,El Salvador,1.22
86998,Estonia,7.57
98284,Finland,16.21
99736,France,7.72
109636,Georgia,3.37
111088,Germany,6.72
114976,Greece,5.62
131674,Hungary,5.0
134427,India,1.24
135791,Indonesia,1.14
140012,Ireland,6.55
142850,Italy,5.39
145688,Japan,7.26
148441,Kazakhstan,6.05
149890,Kenya,0.22
161110,Latvia,4.08
168106,Lithuania,4.78
169558,Luxembourg,11.28
174998,Malaysia,5.36
179216,Malta,6.12
184826,Mexico,2.49
186278,Moldova,1.37
187730,Mongolia,2.87
188852,Montenegro,3.54
200006,Netherlands,7.06
202844,New Zealand,8.91
211292,North Macedonia,3.09
212744,Norway,24.64
218486,Pakistan,0.59
225482,Peru,1.74
226934,Philippines (the),0.94
228386,Poland,4.69
229838,Portugal,5.25
235448,Romania,3.14
236900,Russian Federation (the),7.38
248849,Saudi Arabia,10.24
250292,Senegal,0.35
251744,Serbia,4.32
255968,Singapore,9.06
257420,Slovakia,5.56
258872,Slovenia,7.37
263096,South Africa,3.79
264548,South Korea,11.22
266594,Spain,5.76
272204,Sweden,14.41
273656,Switzerland,7.38
276494,Taiwan,12.25
277946,Tajikistan,1.7
280784,Thailand,3.01
287582,Tunisia,1.67
289034,Turkey,3.91
294644,Ukraine,3.51
297482,United Kingdom,4.88
298934,United States of America,12.68
300386,Uruguay,3.6
305996,Viet Nam,2.2
