,Area,Year,Variable,Value
310260,World,2000,Bioenergy,34.15
310261,World,2000,Coal,4687.23
310262,World,2000,Gas,1329.71
310263,World,2000,Hydro,62.91
310264,World,2000,Nuclear,30.07
310265,World,2000,Other Fossil,817.44
310266,World,2000,Other Renewables,2.0
310267,World,2000,Solar,0.05
310268,World,2000,Wind,0.34
310326,World,2001,Bioenergy,32.89
310327,World,2001,Coal,4755.43
310328,World,2001,Gas,1402.44
310329,World,2001,Hydro,61.48
310330,World,2001,Nuclear,30.87
310331,World,2001,Other Fossil,806.38
310332,World,2001,Other Renewables,1.96
310333,World,2001,Solar,0.06
310334,World,2001,Wind,0.42
310392,World,2002,Bioenergy,35.95
310393,World,2002,Coal,4965.54
310394,World,2002,Gas,1502.36
310395,World,2002,Hydro,62.43
310396,World,2002,Nuclear,31.2
310397,World,2002,Other Fossil,791.84
310398,World,2002,Other Renewables,2.0
310399,World,2002,Solar,0.08
310400,World,2002,Wind,0.57
310458,World,2003,Bioenergy,38.57
310459,World,2003,Coal,5297.64
310460,World,2003,Gas,1565.76
310461,World,2003,Hydro,62.48
310462,World,2003,Nuclear,30.91
310463,World,2003,Other Fossil,805.25
310464,World,2003,Other Renewables,2.05
310465,World,2003,Solar,0.1
310466,World,2003,Wind,0.7
310524,World,2004,Bioenergy,42.45
310525,World,2004,Coal,5485.97
310526,World,2004,Gas,1684.95
310527,World,2004,Hydro,67.07
310528,World,2004,Nuclear,32.17
310529,World,2004,Other Fossil,795.65
310530,World,2004,Other Renewables,2.13
310531,World,2004,Solar,0.13
310532,World,2004,Wind,0.94
310590,World,2005,Bioenergy,47.95
310591,World,2005,Coal,5770.92
310592,World,2005,Gas,1766.53
310593,World,2005,Hydro,69.62
310594,World,2005,Nuclear,32.22
310595,World,2005,Other Fossil,796.01
310596,World,2005,Other Renewables,2.17
310597,World,2005,Solar,0.18
310598,World,2005,Wind,1.14
310656,World,2006,Bioenergy,50.99
310657,World,2006,Coal,6098.27
310658,World,2006,Gas,1874.02
310659,World,2006,Hydro,72.05
310660,World,2006,Nuclear,32.64
310661,World,2006,Other Fossil,730.79
310662,World,2006,Other Renewables,2.22
310663,World,2006,Solar,0.25
310664,World,2006,Wind,1.46
310722,World,2007,Bioenergy,56.14
310723,World,2007,Coal,6501.65
310724,World,2007,Gas,2027.21
310725,World,2007,Hydro,73.1
310726,World,2007,Nuclear,31.98
310727,World,2007,Other Fossil,748.76
310728,World,2007,Other Renewables,2.32
310729,World,2007,Solar,0.33
310730,World,2007,Wind,1.88
310788,World,2008,Bioenergy,59.72
310789,World,2008,Coal,6499.84
310790,World,2008,Gas,2079.99
310791,World,2008,Hydro,77.48
310792,World,2008,Nuclear,31.85
310793,World,2008,Other Fossil,717.65
310794,World,2008,Other Renewables,2.42
310795,World,2008,Solar,0.55
310796,World,2008,Wind,2.42
310854,World,2009,Bioenergy,64.58
310855,World,2009,Coal,6407.89
310856,World,2009,Gas,2093.9
310857,World,2009,Hydro,77.51
310858,World,2009,Nuclear,31.41
310859,World,2009,Other Fossil,664.76
310860,World,2009,Other Renewables,2.5
310861,World,2009,Solar,0.92
310862,World,2009,Wind,3.03
310920,World,2010,Bioenergy,74.48
310921,World,2010,Coal,6847.83
310922,World,2010,Gas,2305.62
310923,World,2010,Hydro,81.75
310924,World,2010,Nuclear,32.24
310925,World,2010,Other Fossil,658.66
310926,World,2010,Other Renewables,2.53
310927,World,2010,Solar,1.49
310928,World,2010,Wind,3.81
310986,World,2011,Bioenergy,79.28
310987,World,2011,Coal,7226.18
310988,World,2011,Gas,2346.76
310989,World,2011,Hydro,83.38
310990,World,2011,Nuclear,30.91
310991,World,2011,Other Fossil,729.32
310992,World,2011,Other Renewables,2.57
310993,World,2011,Solar,2.97
310994,World,2011,Wind,4.84
311052,World,2012,Bioenergy,85.62
311053,World,2012,Coal,7243.68
311054,World,2012,Gas,2465.55
311055,World,2012,Hydro,87.35
311056,World,2012,Nuclear,28.84
311057,World,2012,Other Fossil,760.07
311058,World,2012,Other Renewables,2.59
311059,World,2012,Solar,4.58
311060,World,2012,Wind,5.82
311118,World,2013,Bioenergy,93.09
311119,World,2013,Coal,7621.76
311120,World,2013,Gas,2416.82
311121,World,2013,Hydro,90.38
311122,World,2013,Nuclear,29.03
311123,World,2013,Other Fossil,733.14
311124,World,2013,Other Renewables,2.67
311125,World,2013,Solar,6.31
311126,World,2013,Wind,7.04
311184,World,2014,Bioenergy,101.37
311185,World,2014,Coal,7759.53
311186,World,2014,Gas,2480.66
311187,World,2014,Hydro,92.6
311188,World,2014,Nuclear,29.62
311189,World,2014,Other Fossil,694.6
311190,World,2014,Other Renewables,2.89
311191,World,2014,Solar,9.4
311192,World,2014,Wind,7.88
311250,World,2015,Bioenergy,110.1
311251,World,2015,Coal,7495.71
311252,World,2015,Gas,2644.35
311253,World,2015,Hydro,92.8
311254,World,2015,Nuclear,30.02
311255,World,2015,Other Fossil,697.58
311256,World,2015,Other Renewables,3.01
311257,World,2015,Solar,12.21
311258,World,2015,Wind,9.12
311316,World,2016,Bioenergy,111.86
311317,World,2016,Coal,7541.59
311318,World,2016,Gas,2763.68
311319,World,2016,Hydro,95.86
311320,World,2016,Nuclear,30.4
311321,World,2016,Other Fossil,661.24
311322,World,2016,Other Renewables,3.08
311323,World,2016,Solar,15.76
311324,World,2016,Wind,10.55
311382,World,2017,Bioenergy,118.45
311383,World,2017,Coal,7775.07
311384,World,2017,Gas,2812.59
311385,World,2017,Hydro,97.16
311386,World,2017,Nuclear,30.58
