,Area,Value
11201,Argentina,145.31
12653,Armenia,7.49
16943,Australia,244.64
18395,Austria,66.36
19847,Azerbaijan,25.12
24071,Bangladesh,83.75
26909,Belarus,38.62
28361,Belgium,98.57
35021,Bolivia,10.37
39245,Brazil,640.66
42083,Bulgaria,47.3
44921,Burundi,0.32
50531,Canada,622.2
55967,Chile,81.51
57330,China,8484.02
65711,Costa Rica,12.62
68549,Croatia,15.12
71387,Cyprus,5.04
72839,Czechia,83.36
74291,Denmark,33.42
79901,Ecuador,33.07
81353,Egypt,174.88
82805,El Salvador,6.59
87029,Estonia,7.41
98315,Finland,72.06
99767,France,548.68
109667,Georgia,12.66
111119,Germany,581.55
115007,Greece,54.91
131705,Hungary,35.5
134456,India,1713.75
135820,Indonesia,309.09
140043,Ireland,30.78
142881,Italy,283.27
145719,Japan,917.93
148470,Kazakhstan,114.16
149921,Kenya,11.39
161141,Latvia,5.92
168137,Lithuania,3.96
169589,Luxembourg,1.34
175025,Malaysia,174.11
179247,Malta,2.19
184857,Mexico,316.62
186309,Moldova,4.89
187761,Mongolia,7.7
188883,Montenegro,3.81
200037,Netherlands,120.77
202875,New Zealand,42.96
211323,North Macedonia,3.96
212775,Norway,151.16
218517,Pakistan,129.05
225513,Peru,57.29
226965,Philippines (the),102.64
228417,Poland,176.52
229869,Portugal,48.76
235479,Romania,58.16
236931,Russian Federation (the),1094.58
248874,Saudi Arabia,356.62
250323,Senegal,5.52
251775,Serbia,37.09
255999,Singapore,53.01
257451,Slovakia,29.58
258903,Slovenia,15.59
263127,South Africa,229.72
264579,South Korea,575.25
266625,Spain,268.24
272235,Sweden,171.08
273687,Switzerland,61.55
276525,Taiwan,291.86
277977,Tajikistan,19.09
280815,Thailand,176.39
287613,Tunisia,19.92
289065,Turkey,331.28
294675,Ukraine,155.61
297513,United Kingdom,307.16
298965,United States of America,4157.1
300417,Uruguay,15.29
306027,Viet Nam,213.25
